source	hidden_k	surface_k	comparison	hidden_rule	surface_family	hidden_test_auroc	surface_test_auroc	delta_auroc_hidden_minus_surface	delta_auroc_ci_low	delta_auroc_ci_high	delta_auroc_p_two_sided_zero	delta_auroc_holm_p	hidden_pair_rank_accuracy	surface_pair_rank_accuracy	delta_pair_rank_accuracy_hidden_minus_surface	delta_pair_rank_accuracy_ci_low	delta_pair_rank_accuracy_ci_high	delta_pair_rank_accuracy_p_two_sided_zero	delta_pair_rank_accuracy_holm_p	n_pairs	n_rows	n_rank_pairs	pool_ks	pool_positions	layer	left_dropped	left_dropped_initial	pairs_dropped_pair_complete	pairs_dropped_pair_complete_initial	right_dropped	right_dropped_initial
pooled	8	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7335400417674377	0.7570153955632652	-0.023475353795827547	-0.03393599542225828	-0.012293316318855803	0.0	0.0	0.7434362045140488	0.7549516351911562	-0.011515430677107363	-0.023491847826086935	0.000729017275162649	0.068	0.068	2171	4342	2171	4,8	cot_4,cot_8	28	0		0		0	
harmbench_standard	8	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7312802977839336	0.8293369113573407	-0.09805661357340711	-0.14048757790858724	-0.05686190702908586	0.0		0.7269736842105263	0.8157894736842105	-0.08881578947368418	-0.134020618556701	-0.04231802911534154	0.0		152	304	152	4,8	cot_4,cot_8	28	0	0	0	0	0	0
wildjailbreak_vanilla_harmful	8	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7351673465622892	0.8002706335380994	-0.06510328697581014	-0.0784858143083991	-0.053469693925538006	0.0		0.7446755819712729	0.8197127290737989	-0.07503714710252596	-0.08865814696485619	-0.0617579508810539	0.0		2019	4038	2019	4,8	cot_4,cot_8	28	0	0	0	0	0	0
pooled	8	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7335400417674377	0.801760402237017	-0.06822036046957924	-0.08026836788103987	-0.05684394241669371	0.0		0.7434362045140488	0.8194380469829572	-0.0760018424689084	-0.08795732560351875	-0.0636152426485599	0.0		2171	4342	2171	4,8	cot_4,cot_8	28	0		0		0	
harmbench_standard	8	32	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7312802977839336	0.7994286703601108	-0.06814837257617723	-0.11226897939750688	-0.02430910231994457	0.0		0.7269736842105263	0.8223684210526315	-0.0953947368421052	-0.14922406229436275	-0.03909644194756553	0.0		152	304	152	4,8	cot_4,cot_8	28	0	0	0	0	0	0
wildjailbreak_vanilla_harmful	8	32	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7351673465622892	0.8084607815647339	-0.07329343500244467	-0.08534589122504123	-0.0610085901371346	0.0		0.7446755819712729	0.8345715700842001	-0.0898959881129272	-0.10408791845545214	-0.07666848517912346	0.0		2019	4038	2019	4,8	cot_4,cot_8	28	0	0	0	0	0	0
pooled	8	32	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7335400417674377	0.8076576181867212	-0.07411757641928352	-0.08627439961164733	-0.06241276172807631	0.0		0.7434362045140488	0.8337171810225702	-0.0902809765085214	-0.10377532276256289	-0.07686399189691077	0.0		2171	4342	2171	4,8	cot_4,cot_8	28	0		0		0	
harmbench_standard	8	64	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7312802977839336	0.8336651662049861	-0.10238486842105254	-0.1422697368421053	-0.05843685076177291	0.0		0.7269736842105263	0.8223684210526315	-0.0953947368421052	-0.14556039325842698	-0.04079975007810062	0.0		152	304	152	4,8	cot_4,cot_8	28	0	0	0	0	0	0
wildjailbreak_vanilla_harmful	8	64	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7351673465622892	0.8507049547378164	-0.11553760817552716	-0.12953603716648254	-0.10161930579749932	0.0		0.7446755819712729	0.8749380881624567	-0.13026250619118374	-0.14567138624531986	-0.11536715808403425	0.0		2019	4038	2019	4,8	cot_4,cot_8	28	0	0	0	0	0	0
pooled	8	64	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7335400417674377	0.8495431275421732	-0.1160030857747355	-0.1288915233700123	-0.10332895930846736	0.0		0.7434362045140488	0.8712574850299402	-0.12782128051589137	-0.1426268762086497	-0.1143904914201366	0.0		2171	4342	2171	4,8	cot_4,cot_8	28	0		0		0	
