source	hidden_k	surface_k	comparison	hidden_rule	surface_family	hidden_test_auroc	surface_test_auroc	delta_auroc_hidden_minus_surface	delta_auroc_ci_low	delta_auroc_ci_high	delta_auroc_p_two_sided_zero	delta_auroc_holm_p	hidden_pair_rank_accuracy	surface_pair_rank_accuracy	delta_pair_rank_accuracy_hidden_minus_surface	delta_pair_rank_accuracy_ci_low	delta_pair_rank_accuracy_ci_high	delta_pair_rank_accuracy_p_two_sided_zero	delta_pair_rank_accuracy_holm_p	n_pairs	n_rows	n_rank_pairs	pool_ks	initial_left_dropped	initial_pairs_after	initial_pairs_before	initial_pairs_dropped_pair_complete	initial_right_dropped	initial_rows_after_pair_complete	pairs_dropped_pair_complete
harmbench_standard	16	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7901229224376731	0.7614915166204986	0.028631405817174493	-0.024331825657894723	0.07804871450831018	0.244		0.7697368421052632	0.7269736842105263	0.042763157894736836	-0.005208333333333317	0.0932057823129251	0.104		152	304	152	4,8,16	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	16	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7989634627551387	0.730405010743651	0.06855845201148769	0.057173889285075594	0.08136704833060662	0.0		0.7912332838038633	0.715948489351164	0.07528479445269931	0.0626350818422708	0.08822438811590211	0.0		2019	4038	2019	4,8,16	0	2019	2019	0	0	4038	0
pooled	16	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7982705531077235	0.7323279246700943	0.06594262843762921	0.05282324307201775	0.0789765312234193	0.0		0.7897282358360203	0.7167204053431598	0.07300783049286041	0.060868563383160545	0.08616361481158182	0.0		2171	4342	2171	4,8,16							0
harmbench_standard	16	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7901229224376731	0.7996234418282548	-0.009500519390581719	-0.04514045186980611	0.025077908587257558	0.644		0.7697368421052632	0.7598684210526315	0.009868421052631637	-0.0372905344202899	0.056122448979591844	0.736		152	304	152	4,8,16	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	16	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7989634627551387	0.7540763686042526	0.0448870941508861	0.03396654209477518	0.055670569289618874	0.0		0.7912332838038633	0.754581475978207	0.036651807825656246	0.02363750169359635	0.049768260583189734	0.0		2019	4038	2019	4,8,16	0	2019	2019	0	0	4038	0
pooled	16	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7982705531077235	0.7570153955632652	0.0412551575444583	0.031233834106934057	0.05150156230076081	0.0		0.7897282358360203	0.7549516351911562	0.0347766006448641	0.02243481340331625	0.04654714710843244	0.0		2171	4342	2171	4,8,16							0
harmbench_standard	16	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7901229224376731	0.8293369113573407	-0.03921398891966754	-0.07454120498614959	-0.005187413434903032	0.028		0.7697368421052632	0.8157894736842105	-0.046052631578947345	-0.09839046822742473	0.00995297029702971	0.116		152	304	152	4,8,16	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	16	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7989634627551387	0.8002706335380994	-0.0013071707829606094	-0.01072286041398203	0.00891728860618577	0.844		0.7912332838038633	0.8197127290737989	-0.02847944526993562	-0.03887636424798175	-0.01670308201210733	0.0		2019	4038	2019	4,8,16	0	2019	2019	0	0	4038	0
pooled	16	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7982705531077235	0.801760402237017	-0.0034898491292933986	-0.011946922510433906	0.005916067096929708	0.512	0.512	0.7897282358360203	0.8194380469829572	-0.029709811146936937	-0.04051524148039848	-0.017848124098124096	0.0	0.0	2171	4342	2171	4,8,16							0
harmbench_standard	16	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7901229224376731	0.7994286703601108	-0.009305747922437657	-0.048323342278393334	0.029295251904432138	0.628		0.7697368421052632	0.8223684210526315	-0.05263157894736836	-0.10485106998264897	-0.009945038621509234	0.024		152	304	152	4,8,16	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	16	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7989634627551387	0.8084607815647339	-0.009497318809595146	-0.02063290334197581	0.000831219315462974	0.088		0.7912332838038633	0.8345715700842001	-0.04333828628033687	-0.055873986029743125	-0.029508366211553637	0.0		2019	4038	2019	4,8,16	0	2019	2019	0	0	4038	0
pooled	16	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7982705531077235	0.8076576181867212	-0.00938706507899767	-0.019573049627634186	0.0008808323189924301	0.08		0.7897282358360203	0.8337171810225702	-0.043988945186549944	-0.05614201257310812	-0.03136300056227396	0.0		2171	4342	2171	4,8,16							0
harmbench_standard	16	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7901229224376731	0.8336651662049861	-0.04354224376731297	-0.08567293542243769	-0.0022701696675900265	0.028		0.7697368421052632	0.8223684210526315	-0.05263157894736836	-0.10848274316450027	0.0	0.064		152	304	152	4,8,16	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	16	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7989634627551387	0.8507049547378164	-0.051741491982677634	-0.06236343518152591	-0.041257134733650926	0.0		0.7912332838038633	0.8749380881624567	-0.0837048043585934	-0.09725022387598815	-0.07051287783521958	0.0		2019	4038	2019	4,8,16	0	2019	2019	0	0	4038	0
pooled	16	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7982705531077235	0.8495431275421732	-0.05127257443444966	-0.0609020045866528	-0.040613226652318396	0.0		0.7897282358360203	0.8712574850299402	-0.0815292491939199	-0.09415499640627108	-0.06977665089778494	0.0		2171	4342	2171	4,8,16							0
harmbench_standard	32	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8023718836565097	0.7614915166204986	0.040880367036011056	-0.008844247749307494	0.08876439144736839	0.144		0.7763157894736842	0.7269736842105263	0.049342105263157854	-0.004976485148514856	0.09844369547977798	0.1		152	304	152	4,8,16,32	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	32	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8146676655968399	0.730405010743651	0.08426265485318885	0.0714581951892877	0.09819644285675386	0.0		0.8095591877166914	0.715948489351164	0.09361069836552749	0.07994428100747486	0.10668302180685359	0.0		2019	4038	2019	4,8,16,32	0	2019	2019	0	0	4038	0
pooled	32	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8137620164129099	0.7323279246700943	0.08143409174281557	0.06884275331984938	0.09347752162471641	0.0		0.8072316904652234	0.7167204053431598	0.09051128512206352	0.07782224002135892	0.10379166027941795	0.0		2171	4342	2171	4,8,16,32							0
harmbench_standard	32	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8023718836565097	0.7996234418282548	0.002748441828254844	-0.03561125779085875	0.04013157894736835	0.868		0.7763157894736842	0.7598684210526315	0.016447368421052655	-0.033636534133533395	0.06343161050828096	0.588		152	304	152	4,8,16,32	0	152	152	0	0	304	0
wildjailbreak_vanilla_harmful	32	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8146676655968399	0.7540763686042526	0.06059129699258725	0.05091230266406726	0.07210485344649308	0.0		0.8095591877166914	0.754581475978207	0.054977711738484425	0.041240924224798504	0.06789108567300454	0.0		2019	4038	2019	4,8,16,32	0	2019	2019	0	0	4038	0
pooled	32	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.8137620164129099	0.7570153955632652	0.05674662084964466	0.04584010238390099	0.06720592581622704	0.0		0.8072316904652234	0.7549516351911562	0.052280055274067205	0.03812218459388267	0.06505233126487588	0.0		2171	4342	2171	4,8,16,32							0
