model	position	layer	train_n	val_n	test_n	val_auroc	val_recall	val_fpr	test_auroc	test_auprc	test_recall	test_fpr	threshold	reasoningshield_test_n	reasoningshield_test_auroc	reasoningshield_test_auprc	reasoningshield_test_recall	reasoningshield_test_fpr
linear	cot_9	22	4710	588	587	0.932339	0.594203	0.0423892	0.934404	0.664317	0.529412	0.0346821	0.891048	337	0.755586	0.491179	0.478873	0.105263
linear	cot_9	24	4710	588	587	0.928932	0.652174	0.044316	0.933838	0.700097	0.647059	0.0520231	0.86	337	0.764058	0.50754	0.577465	0.157895
linear	cot_9	25	4710	588	587	0.919885	0.637681	0.0462428	0.931854	0.694091	0.661765	0.0578035	0.85921	337	0.747591	0.493386	0.521127	0.157895
linear	cot_9	28	4710	588	587	0.911787	0.623188	0.0366089	0.937918	0.73549	0.632353	0.0481696	0.876541	337	0.778143	0.504682	0.478873	0.161654
linear	cot_9	32	4710	588	587	0.885007	0.652174	0.0423892	0.918792	0.63963	0.661765	0.0597303	0.853267	337	0.73393	0.421523	0.464789	0.165414
linear	cot_10	7	4710	588	587	0.955684	0.826087	0.0481696	0.955996	0.781637	0.794118	0.0597303	0.812347	337	0.854072	0.632971	0.732394	0.195489
linear	cot_10	8	4710	588	587	0.962553	0.811594	0.0462428	0.960246	0.787529	0.823529	0.0462428	0.83	337	0.858943	0.63207	0.760563	0.206767
linear	cot_10	14	4710	588	587	0.951467	0.768116	0.0481696	0.950697	0.757625	0.852941	0.0732177	0.825615	337	0.799375	0.513914	0.71831	0.278195
linear	cot_10	16	4710	588	587	0.953869	0.782609	0.0481696	0.959566	0.815354	0.838235	0.0539499	0.827695	337	0.838081	0.582581	0.704225	0.161654
linear	cot_10	17	4710	588	587	0.946916	0.73913	0.0404624	0.960104	0.800501	0.808824	0.0520231	0.84	337	0.827015	0.583287	0.676056	0.165414
linear	cot_10	20	4710	588	587	0.949932	0.710145	0.0481696	0.963504	0.818882	0.838235	0.0462428	0.822924	337	0.842105	0.583423	0.704225	0.184211
linear	cot_10	21	4710	588	587	0.947223	0.681159	0.0481696	0.961719	0.789244	0.764706	0.0385356	0.848859	337	0.817854	0.573057	0.647887	0.150376
linear	cot_10	22	4710	588	587	0.948535	0.724638	0.0423892	0.958574	0.801463	0.838235	0.0385356	0.84	337	0.825479	0.599939	0.676056	0.165414
linear	cot_10	24	4710	588	587	0.930105	0.710145	0.0481696	0.960784	0.839165	0.823529	0.044316	0.830366	337	0.809171	0.557427	0.676056	0.195489
linear	cot_10	25	4710	588	587	0.934517	0.710145	0.0404624	0.957781	0.825133	0.808824	0.0366089	0.847283	337	0.775283	0.50958	0.577465	0.18797
linear	cot_10	28	4710	588	587	0.922622	0.57971	0.0346821	0.952029	0.786365	0.705882	0.0308285	0.87	337	0.780631	0.513952	0.464789	0.112782
linear	cot_10	32	4710	588	587	0.902432	0.608696	0.0481696	0.924175	0.668623	0.558824	0.0500963	0.849967	337	0.76104	0.471519	0.549296	0.176692
linear	cot_12	7	4707	588	587	0.939013	0.695652	0.0481696	0.941488	0.746624	0.661765	0.0500963	0.839819	337	0.841629	0.590288	0.633803	0.161654
linear	cot_12	8	4707	588	587	0.952277	0.73913	0.0481696	0.941375	0.779483	0.764706	0.0597303	0.845228	337	0.860638	0.623178	0.746479	0.172932
linear	cot_12	14	4707	588	587	0.962135	0.782609	0.0481696	0.958801	0.757253	0.794118	0.0597303	0.845118	337	0.879276	0.661746	0.746479	0.154135
linear	cot_12	16	4707	588	587	0.960292	0.84058	0.044316	0.949394	0.743494	0.764706	0.0712909	0.839987	337	0.845759	0.596714	0.676056	0.180451
linear	cot_12	17	4707	588	587	0.956298	0.695652	0.0385356	0.958886	0.763059	0.691176	0.0404624	0.864226	337	0.812613	0.561056	0.605634	0.161654
