model	position	layer	train_n	val_n	test_n	val_auroc	val_recall	val_fpr	test_auroc	test_auprc	test_recall	test_fpr	threshold	reasoningshield_test_n	reasoningshield_test_auroc	reasoningshield_test_auprc	reasoningshield_test_recall	reasoningshield_test_fpr
linear	cot_7	32	8884	1128	1135	0.953617756065	0.771428571429	0.0471698113208	0.964845849416	0.901222157455	0.731958762887	0.053317535545	0.85	1722	0.877996476862	0.76797651225	0.66213592233	0.0977630488815
linear	cot_8	7	8884	1128	1135	0.947089791105	0.732142857143	0.0495283018868	0.945497630332	0.857283228729	0.707903780069	0.0604265402844	0.845748722553	1722	0.875025940911	0.758423814211	0.642718446602	0.0952775476388
linear	cot_8	8	8884	1128	1135	0.945291442049	0.75	0.0483490566038	0.945135258383	0.86190444805	0.735395189003	0.0616113744076	0.835329174995	1722	0.875443408595	0.753276396861	0.660194174757	0.118475559238
linear	cot_8	14	8884	1128	1135	0.955719339623	0.789285714286	0.0471698113208	0.963380075243	0.889369588532	0.756013745704	0.0509478672986	0.821836233139	1722	0.898070317967	0.792002713571	0.71067961165	0.102734051367
linear	cot_8	16	8884	1128	1135	0.945573618598	0.75	0.0483490566038	0.961836940766	0.889096093938	0.780068728522	0.0556872037915	0.82	1722	0.89207454895	0.791534107543	0.706796116505	0.11101905551
linear	cot_8	17	8884	1128	1135	0.946428571429	0.825	0.0495283018868	0.958306867966	0.884777234744	0.817869415808	0.0616113744076	0.797456920147	1722	0.88956169915	0.791582298657	0.708737864078	0.129246064623
linear	cot_8	20	8884	1128	1135	0.951579346361	0.764285714286	0.0483490566038	0.963693588052	0.894047395986	0.800687285223	0.0556872037915	0.823660612106	1722	0.890834211437	0.79677017072	0.664077669903	0.0969345484673
linear	cot_8	21	8884	1128	1135	0.95013898248	0.810714285714	0.0483490566038	0.961421638084	0.886446239661	0.762886597938	0.053317535545	0.819174230099	1722	0.879692087419	0.77975962984	0.646601941748	0.107705053853
linear	cot_8	22	8884	1128	1135	0.949460916442	0.782142857143	0.0483490566038	0.963709874432	0.891675006329	0.780068728522	0.0521327014218	0.832887232304	1722	0.885554331127	0.791509682596	0.646601941748	0.0985915492958
linear	cot_8	24	8884	1128	1135	0.9411893531	0.771428571429	0.0495283018868	0.956694516376	0.877055375166	0.762886597938	0.0545023696682	0.832099497318	1722	0.88184136228	0.776672943695	0.623300970874	0.0952775476388
linear	cot_8	25	8884	1128	1135	0.94815953504	0.771428571429	0.0495283018868	0.956564225338	0.874550316757	0.759450171821	0.0521327014218	0.828938066959	1722	0.881230041586	0.773520440321	0.636893203883	0.0969345484673
linear	cot_8	28	8884	1128	1135	0.951158187332	0.757142857143	0.0448113207547	0.961608931451	0.880026422246	0.73883161512	0.0545023696682	0.835168004036	1722	0.877108453117	0.774216476753	0.615533980583	0.0878210439105
linear	cot_8	32	8884	1128	1135	0.948130053908	0.760714285714	0.0471698113208	0.959902933177	0.88198725902	0.742268041237	0.0509478672986	0.836123585701	1722	0.885076535742	0.782321569235	0.636893203883	0.0836785418393
linear	pause_0	7	8884	1128	1135	0.94304245283	0.632142857143	0.0471698113208	0.952997508184	0.863960302045	0.690721649485	0.0438388625592	0.879642903805	1722	0.84485967777	0.664387748498	0.466019417476	0.0845070422535
linear	pause_0	8	8884	1128	1135	0.946740229111	0.653571428571	0.0495283018868	0.952977150209	0.862281752473	0.690721649485	0.0462085308057	0.87653452158	1722	0.84908744299	0.671448700651	0.471844660194	0.0886495443248
linear	pause_0	14	8884	1128	1135	0.94261708221	0.660714285714	0.0495283018868	0.952561847527	0.850594453979	0.687285223368	0.0462085308057	0.866121709347	1722	0.849515367476	0.67633023502	0.495145631068	0.092792046396
