source	hidden_k	surface_k	comparison	hidden_rule	surface_family	hidden_test_auroc	surface_test_auroc	delta_auroc_hidden_minus_surface	delta_auroc_ci_low	delta_auroc_ci_high	delta_auroc_p_two_sided_zero	delta_auroc_holm_p	hidden_pair_rank_accuracy	surface_pair_rank_accuracy	delta_pair_rank_accuracy_hidden_minus_surface	delta_pair_rank_accuracy_ci_low	delta_pair_rank_accuracy_ci_high	delta_pair_rank_accuracy_p_two_sided_zero	delta_pair_rank_accuracy_holm_p	n_pairs	n_rows	n_rank_pairs	pool_ks	initial_left_dropped	initial_pairs_after	initial_pairs_before	initial_pairs_dropped_pair_complete	initial_right_dropped	initial_rows_after_pair_complete	pairs_dropped_pair_complete
pooled	16	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7294403327779914	0.7366490986372762	-0.007208765859284871	-0.021686937983254294	0.006921616685890035	0.316		0.7148692810457516	0.7066993464052288	0.008169934640522847	-0.017015706806282727	0.03343389817066717	0.54		612	1224	612	4,8,16							0
strongreject_full	16	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7225951074561118	0.7531572156550979	-0.030562108198986082	-0.05281331048234694	-0.005033950657508905	0.036		0.6967509025270758	0.7148014440433214	-0.018050541516245522	-0.05475853691007127	0.022222222222222202	0.476		277	554	277	4,8,16	0	277	277	0	0	554	0
reasoningshield	16	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7350100245043439	0.7628202272220984	-0.027810202717754473	-0.052936177322343514	-0.004870906660726174	0.016		0.7298507462686568	0.7686567164179104	-0.03880597014925369	-0.0767482517482517	-0.0023194905034669734	0.048		335	670	335	4,8,16	0	335	335	0	0	670	0
pooled	16	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7294403327779914	0.748527542825409	-0.019087210047417646	-0.035161422956982324	-0.0010815818702208967	0.036		0.7148692810457516	0.744281045751634	-0.02941176470588236	-0.060086841630531386	-0.00315761233410779	0.024		612	1224	612	4,8,16							0
strongreject_full	16	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7225951074561118	0.7970454456593986	-0.07445033820328684	-0.10706919808677295	-0.04623561495653534	0.0		0.6967509025270758	0.8032490974729242	-0.10649819494584833	-0.1478054309002656	-0.06531913861674264	0.0		277	554	277	4,8,16	0	277	277	0	0	554	0
reasoningshield	16	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7350100245043439	0.7806861216306527	-0.04567609712630871	-0.07161617286700828	-0.01614646914680334	0.004		0.7298507462686568	0.7985074626865671	-0.06865671641791038	-0.10360465116279075	-0.03125	0.0		335	670	335	4,8,16	0	335	335	0	0	670	0
pooled	16	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7294403327779914	0.7835848391644239	-0.054144506386432534	-0.07546740169379296	-0.03579038777820499	0.0		0.7148692810457516	0.8006535947712419	-0.08578431372549022	-0.11334925048355902	-0.05872143767942013	0.0		612	1224	612	4,8,16							0
strongreject_full	32	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7335753105084127	0.657678322407434	0.07589698810097878	0.040282846120762654	0.11057764991072475	0.0		0.6877256317689531	0.6498194945848376	0.03790613718411551	-0.001426630434782582	0.0835777467411546	0.064		277	554	277	4,8,16,32	0	277	277	0	0	554	0
reasoningshield	32	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7515838716863444	0.6747828024058811	0.07680106928046337	0.04821263087547333	0.10971786589440853	0.0		0.7328358208955223	0.6791044776119403	0.05373134328358209	0.02127012072434608	0.08793317347789822	0.004		335	670	335	4,8,16,32	0	335	335	0	0	670	0
pooled	32	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7420463283352556	0.6645374108248964	0.07750891751035927	0.05427773505916529	0.10092605942158994	0.0		0.7124183006535948	0.6658496732026143	0.04656862745098045	0.0205378683013644	0.0700179566109645	0.0		612	1224	612	4,8,16,32							0
