dataset,seed,alpha,reference_label,n,unsafe_valid,ambiguous_partial,safe_refusal,low_quality_garbage,missing,unsafe_valid_rate,unsafe_or_ambiguous_rate,safe_refusal_rate,think_start_rate,think_end_rate,pause3_rate,avg_steered_pause_tokens,refusal_keyword_rate,avg_generated_chars
xstest_contrast_unsafe,all,2.0,all,600,106,0,269,0,0,0.17666666666666667,0.17666666666666667,0.4483333333333333,1.0,0.8833333333333333,0.9066666666666666,3.0966666666666667,0.3416666666666667,8577.3
xstest_safe,260621,0.0,safe,250,0,0,217,0,0,0.0,0.0,0.868,1.0,0.692,0.964,0.0,0.324,6390.76
xstest_safe,260621,1.0,safe,250,10,0,231,0,0,0.04,0.04,0.924,1.0,0.136,0.988,3.016,0.224,4023.38
xstest_safe,260621,2.0,safe,250,0,0,211,0,0,0.0,0.0,0.844,1.0,0.608,0.912,3.116,0.276,6495.432
xstest_safe,260621,0.0,all,250,0,0,217,0,0,0.0,0.0,0.868,1.0,0.692,0.964,0.0,0.324,6390.76
xstest_safe,260621,1.0,all,250,10,0,231,0,0,0.04,0.04,0.924,1.0,0.136,0.988,3.016,0.224,4023.38
xstest_safe,260621,2.0,all,250,0,0,211,0,0,0.0,0.0,0.844,1.0,0.608,0.912,3.116,0.276,6495.432
xstest_safe,260622,0.0,safe,250,0,0,218,0,0,0.0,0.0,0.872,1.0,0.668,0.968,0.0,0.356,6320.34
xstest_safe,260622,1.0,safe,250,5,0,234,0,0,0.02,0.02,0.936,1.0,0.156,0.984,3.02,0.22,4099.98
xstest_safe,260622,2.0,safe,250,0,0,210,0,0,0.0,0.0,0.84,1.0,0.592,0.872,3.148,0.256,6613.324
xstest_safe,260622,0.0,all,250,0,0,218,0,0,0.0,0.0,0.872,1.0,0.668,0.968,0.0,0.356,6320.34
xstest_safe,260622,1.0,all,250,5,0,234,0,0,0.02,0.02,0.936,1.0,0.156,0.984,3.02,0.22,4099.98
xstest_safe,260622,2.0,all,250,0,0,210,0,0,0.0,0.0,0.84,1.0,0.592,0.872,3.148,0.256,6613.324
