source	hidden_k	surface_k	comparison	hidden_rule	surface_family	hidden_test_auroc	surface_test_auroc	delta_auroc_hidden_minus_surface	delta_auroc_ci_low	delta_auroc_ci_high	delta_auroc_p_two_sided_zero	delta_auroc_holm_p	hidden_pair_rank_accuracy	surface_pair_rank_accuracy	delta_pair_rank_accuracy_hidden_minus_surface	delta_pair_rank_accuracy_ci_low	delta_pair_rank_accuracy_ci_high	delta_pair_rank_accuracy_p_two_sided_zero	delta_pair_rank_accuracy_holm_p	n_pairs	n_rows	n_rank_pairs	pool_ks	pool_positions	layer	left_dropped	left_dropped_initial	pairs_dropped_pair_complete	pairs_dropped_pair_complete_initial	right_dropped	right_dropped_initial
reasoningshield	4	32	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6277255513477389	0.7628202272220984	-0.13509467587435953	-0.17665749610158163	-0.0983932947204277	0.0		0.6298507462686567	0.7686567164179104	-0.13880597014925378	-0.18052337398373988	-0.09645897060779357	0.0		335	670	335	4	cot_4	28	0	0	0	0	0	0
pooled	4	32	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6415361079072152	0.748527542825409	-0.10699143491819385	-0.1301977204280405	-0.08506814286171989	0.0		0.6388888888888888	0.744281045751634	-0.10539215686274517	-0.13838964908333504	-0.07392658580582634	0.0		612	1224	612	4	cot_4	28	0		0		0	
strongreject_full	4	64	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6747644306585515	0.7970454456593986	-0.1222810150008471	-0.15624812652321807	-0.09140921294425834	0.0		0.6498194945848376	0.8032490974729242	-0.1534296028880866	-0.19834644317507877	-0.11284861696221547	0.0		277	554	277	4	cot_4	28	0	0	0	0	0	0
reasoningshield	4	64	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6277255513477389	0.7806861216306527	-0.15296057028291377	-0.19215638226776566	-0.11279238137669863	0.0		0.6298507462686567	0.7985074626865671	-0.16865671641791047	-0.21005012531328315	-0.12779160521140615	0.0		335	670	335	4	cot_4	28	0	0	0	0	0	0
pooled	4	64	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6415361079072152	0.7835848391644239	-0.14204873125720874	-0.16725151117091716	-0.11912669139006365	0.0		0.6388888888888888	0.8006535947712419	-0.16176470588235303	-0.19144988364361704	-0.13248634461232883	0.0		612	1224	612	4	cot_4	28	0		0		0	
strongreject_full	8	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6885141211276049	0.657678322407434	0.030835798720170948	-0.006124477055611293	0.07407222171538794	0.124		0.6787003610108303	0.6498194945848376	0.028880866425992746	-0.008140722346303003	0.06917480566075337	0.176		277	554	277	4,8	cot_4,cot_8	28	0	0	0	0	0	0
reasoningshield	8	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6359590109155714	0.6747828024058811	-0.03882379149030968	-0.07184072176431275	-0.008081755402093996	0.008		0.6059701492537314	0.6791044776119403	-0.07313432835820888	-0.1047423245614036	-0.04244872701555872	0.0		335	670	335	4,8	cot_4,cot_8	28	0	0	0	0	0	0
pooled	8	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6503254624289803	0.6645374108248964	-0.014211948395916107	-0.040220741755307834	0.008218527062241028	0.264		0.6388888888888888	0.6658496732026143	-0.026960784313725505	-0.05288212435233167	-0.0013083586917783585	0.044		612	1224	612	4,8	cot_4,cot_8	28	0		0		0	
strongreject_full	8	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6885141211276049	0.7177208096026274	-0.029206688475022502	-0.060444062870622595	-0.0004123278030470932	0.048		0.6787003610108303	0.6895306859205776	-0.010830324909747335	-0.04905336778332142	0.023859463276836062	0.648		277	554	277	4,8	cot_4,cot_8	28	0	0	0	0	0	0
reasoningshield	8	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6359590109155714	0.7034617955001113	-0.06750278458453995	-0.09953775896636226	-0.0350393183337046	0.0		0.6059701492537314	0.6895522388059702	-0.08358208955223878	-0.11611897539602295	-0.04532693847518887	0.0		335	670	335	4,8	cot_4,cot_8	28	0	0	0	0	0	0
